score,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
355672.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,7
356256.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,7
355720.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,8
355964.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,2
354524.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,3
356084.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,3
354356.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,4
355644.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,3
354012.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,4
355764.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,4
353844.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,5
355388.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
